episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
420,1.0,-1.4230893152165645,-1.7135365426360838,-0.3211360943620639,27.0,1.0,[27.0, 1.0],0.0,False,True,0.8441109251948693,1,16.59809003658851,5365.979,prepare,0.0
420,2.0,-1.4231961827316115,-1.7135305526876838,-0.3385078659775404,-25.0,2.26222060384823,[-25.0, 2.26222060384823],5.0,False,True,0.843466539597159,1,16.59809003658851,5366.041,in_progress,0.0
420,3.0,-1.4159188337691107,-1.714728134669461,-0.493292558265445,-25.0,2.1843801641262135,[-25.0, 2.1843801641262135],25.0,False,True,0.8874301616390604,1,16.59809003658851,5366.109,in_progress,0.0
420,4.0,-1.3921851924231565,-1.7277541457037497,-3.5647456706174014,-23.74022046846686,2.497027454704594,[-23.74022046846686, 2.497027454704594],25.0,False,True,1.0317668272577534,1,16.59809003658851,5366.183,in_progress,0.0
420,5.0,-1.3561704065062625,-1.7482001863017294,-7.875715447893543,5.072328226069061,1.5935598732804808,[5.072328226069061, 1.5935598732804808],25.0,False,True,1.2508629309586867,2,16.59809003658851,5366.24,in_progress,0.0
420,6.0,-1.3109442654248897,-1.7645161621884362,-10.244634867134014,27.0,1.0,[27.0, 1.0],25.0,False,True,1.5250132704976538,2,16.59809003658851,5366.307,in_progress,0.0
420,7.0,-1.2534934829062667,-1.7633251612398526,-7.650502600983244,27.0,1.0,[27.0, 1.0],25.0,False,True,1.8709644425537548,2,16.59809003658851,5366.36,in_progress,0.0
420,8.0,-1.1844574131594545,-1.7477564993213819,-2.0605607061988347,-1.0128684420283172,2.3886981243230254,[-1.0128684420283172, 2.3886981243230254],25.0,False,True,2.285193749403817,3,16.59809003658851,5366.435,in_progress,0.0
420,9.0,-1.1227828171376109,-1.7337569992648227,1.597277835359709,-8.119263166590017,3.2963243680171184,[-8.119263166590017, 3.2963243680171184],25.0,False,True,2.6554585615487647,3,16.59809003658851,5366.512,in_progress,0.0
420,10.0,-1.0266776258558468,-1.7317532650415106,1.3824355338517273,-25.0,1.0,[-25.0, 1.0],25.0,False,True,3.234118710165411,3,16.59809003658851,5366.579,in_progress,0.0
420,11.0,-0.9586999550607544,-1.7401937548598927,-0.3064291979547036,-25.0,1.0192085447383774,[-25.0, 1.0192085447383774],25.0,False,True,3.644598037857448,4,16.59809003658851,5366.632,in_progress,0.0
420,12.0,-0.8661805029003639,-1.7586604199978388,-4.132445350914131,-24.45045638068312,3.3,[-24.45045638068312, 3.3],25.0,False,True,4.204105603486147,4,16.59809003658851,5366.709,in_progress,0.0
420,13.0,-0.8005710097864313,-1.7772990024705058,-7.349726790534638,12.022669285312304,1.0,[12.022669285312304, 1.0],25.0,False,True,4.60003953727435,4,16.59809003658851,5366.781,in_progress,0.0
420,14.0,-0.7308331042745915,-1.7925689918640018,-9.176875113018031,-9.759025593527914,1.0,[-9.759025593527914, 1.0],25.0,False,True,5.021533306308822,4,16.59809003658851,5366.846,in_progress,0.0
420,15.0,-0.6512003014467431,-1.8053378531531474,-9.205761783366057,4.3338241206915455,1.0,[4.3338241206915455, 1.0],25.0,False,True,5.502408106409669,5,16.59809003658851,5366.911,in_progress,0.0
420,16.0,-0.5844965441806644,-1.8168796935536082,-9.312513048736854,27.0,1.0,[27.0, 1.0],25.0,False,True,5.9052856504085875,5,16.59809003658851,5366.972,in_progress,0.0
420,17.0,-0.5193613969730015,-1.8188120135630517,-7.346134245076935,27.0,1.0,[27.0, 1.0],25.0,False,True,6.297842009418112,5,16.59809003658851,5367.05,in_progress,0.0
420,18.0,-0.4488784686338962,-1.8096789891099532,-3.230502311931784,27.0,1.0,[27.0, 1.0],25.0,False,True,6.7169222172232494,5,16.59809003658851,5367.082,in_progress,0.0
420,19.0,-0.37764923917110915,-1.7917111842347406,1.6953380665168836,7.536020874773662,3.3,[7.536020874773662, 3.3],25.0,False,True,7.145487281514814,5,16.59809003658851,5367.171,in_progress,0.0
420,20.0,-0.2956860554438324,-1.7718561384809044,5.4869892398190565,-9.638552530178039,1.2499089952436093,[-9.638552530178039, 1.2499089952436093],25.0,False,True,7.638661384175031,6,16.59809003658851,5367.248,in_progress,0.0
420,21.0,-0.21233638410747482,-1.7616637636572596,5.928932510920272,-25.0,1.0,[-25.0, 1.0],25.0,False,True,8.14049525606673,6,16.59809003658851,5367.272,in_progress,0.0
420,22.0,-0.1072567201575012,-1.764590670238067,2.927284054820722,-25.0,1.0,[-25.0, 1.0],25.0,False,True,8.7711154961133,6,16.59809003658851,5367.373,in_progress,0.0
420,23.0,-0.04990398578216945,-1.7740944801520533,0.08261361524372053,6.479466828172512,3.3,[6.479466828172512, 3.3],25.0,False,True,9.11622305654934,6,16.59809003658851,5367.446,in_progress,0.0
420,24.0,0.015225072668204137,-1.7863779132896838,-2.6903170424545446,0.7231911550416577,2.0885964143313496,[0.7231911550416577, 2.0885964143313496],25.0,False,True,9.508056861848203,7,16.59809003658851,5367.504,in_progress,0.0
420,25.0,0.13987317229725763,-1.7874943138294122,-1.8864377035233448,27.0,2.62987703726447,[27.0, 2.62987703726447],25.0,False,True,10.253507926404575,7,16.59809003658851,5367.564,in_progress,0.0
420,26.0,0.22264273584265537,-1.781573891925985,0.09776198517210079,27.0,3.3,[27.0, 3.3],25.0,False,True,10.75285818204685,7,16.59809003658851,5367.64,in_progress,0.0
420,27.0,0.33975726509894033,-1.757116968558004,5.364482641760858,-19.68793825804152,1.7651293208152792,[-19.68793825804152, 1.7651293208152792],25.0,False,True,11.461610772665507,8,16.59809003658851,5367.718,in_progress,0.0
420,28.0,0.46849431564541083,-1.7283343777978837,9.637271317868027,-25.0,1.3262694369948647,[-25.0, 1.3262694369948647],25.0,False,True,12.240800468910894,8,16.59809003658851,5367.768,in_progress,0.0
420,29.0,0.5741705659770878,-1.7163508674525965,8.920906443149763,-25.0,1.1362111173114475,[-25.0, 1.1362111173114475],5.0,False,True,12.879146527653171,9,16.59809003658851,5367.846,in_progress,0.0
420,30.0,0.6821787599700377,-1.7124394807608763,6.263457617101777,-25.0,1.0,[-25.0, 1.0],5.0,False,True,13.530266711718175,9,16.59809003658851,5367.9,in_progress,0.0
420,31.0,0.7741161381043795,-1.7189371659528914,2.5903570865420824,-25.0,2.5162546038388167,[-25.0, 2.5162546038388167],25.0,False,True,14.084099577374312,9,16.59809003658851,5367.966,in_progress,0.0
420,32.0,0.8721353624570021,-1.7402764567282063,-3.02082255927307,-8.684033622677113,1.133737672896618,[-8.684033622677113, 1.133737672896618],25.0,False,True,14.675696693957358,9,16.59809003658851,5368.044,in_progress,0.0
420,33.0,0.9611236640173191,-1.7695692627835022,-8.929755476134687,2.7924152758941823,1.3782728396364257,[2.7924152758941823, 1.3782728396364257],25.0,False,True,15.213286018640753,10,16.59809003658851,5368.112,in_progress,0.0
420,34.0,1.0446204042383527,-1.7938203261997558,-11.408533123064977,13.201440004925843,1.0,[13.201440004925843, 1.0],25.0,False,True,15.730531254012178,10,16.59809003658851,5368.169,in_progress,0.0
420,35.0,1.1364269096611923,-1.8098165997567484,-10.8586299762057,27.0,1.0,[27.0, 1.0],25.0,False,True,16.2867837034804,10,16.59809003658851,5368.246,in_progress,0.0
420,36.0,1.2227484195092004,-1.8090532443574994,-7.12639056798917,19.918589941179725,1.0,[19.918589941179725, 1.0],25.0,False,True,16.806341785406868,11,16.59809003658851,5368.305,in_progress,0.0
420,37.0,1.2971398441145603,-1.8005270134841764,-3.164607107883173,-7.677716349399013,1.0,[-7.677716349399013, 1.0],25.0,False,True,17.252371087943658,11,16.59809003658851,5368.379,in_progress,0.0
