Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,167.0,1.0,167.0,167.0,0.1,4460.0,0.0,0.0,0.012207984924316406,,,,,,,,,,,,,,,,,,,,,2353.851431406102,1184.0586950258605,4075.052841585513,-14.985005000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,335.0,2.0,168.0,335.0,0.1,3805.0,0.0,0.0,17.41502833366394,,,,,,,,,,,,,,,,,,,,,2033.512736243428,1047.8405418290163,3470.3070040121243,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,504.0,3.0,169.0,504.0,0.1,3930.0,0.0,0.0,34.80522060394287,,,,,,,,,,,,,,,,,,,,,1909.952160868387,1155.516140701153,3614.443357084054,-14.985005000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,677.0,4.0,173.0,677.0,0.1,3950.0,0.0,0.0,52.690056562423706,,,,,,,,,,,,,,,,,,,,,1970.858959865231,1169.4012813536915,3616.270324321635,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,846.0,5.0,169.0,846.0,0.1,3800.0,0.0,0.0,69.92924761772156,,,,,,,,,,,,,,,,,,,,,1948.0303099708447,1145.5692469512132,3477.7348696192958,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1019.0,6.0,173.0,1019.0,0.1,3870.0,0.0,0.0,87.4171953201294,,,,,,,,,,,,,,,,,,,,,1872.809732509758,1161.590944306736,3553.106576321879,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1196.0,7.0,177.0,1196.0,0.1,5100.0,0.0,0.0,105.46629452705383,,,,,,,,,,,,,,,,,,,,,2399.887366511559,1449.2221945821304,4684.5844203838,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,1361.0,8.0,165.0,1361.0,0.1,3880.0,0.0,0.0,122.27828860282898,,,,,,,,,,,,,,,,,,,,,1682.479290310406,1144.7125410132815,3609.6065205333275,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1455.0,9.0,94.0,1455.0,0.1,2435.0,0.0,0.0,131.81182050704956,,,,,,,,,,,,,,,,,,,,,1226.0260142007855,796.5253115266596,2324.400030325747,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1630.0,10.0,175.0,1630.0,0.1,3820.0,0.0,0.0,149.85953402519226,,,,,,,,,,,,,,,,,,,,,1612.843536020362,1020.2320147409703,3544.838513384695,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,1788.0,11.0,158.0,1788.0,0.1,3525.0,0.0,0.0,166.0703456401825,,,,,,,,,,,,,,,,,,,,,1515.6690628158779,1052.0604995592182,3292.105206382649,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1965.0,12.0,177.0,1965.0,0.1,4710.0,0.0,0.0,183.6992907524109,,,,,,,,,,,,,,,,,,,,,2042.5014785873293,1221.8100205621713,4357.187255614012,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,2108.0,13.0,143.0,2108.0,0.1,3640.0,0.0,0.0,198.37398052215576,,,,,,,,,,,,,,,,,,,,,1451.6589073213868,897.5427650492209,3439.2879127907104,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,2293.0,14.0,185.0,2293.0,0.1,5010.0,0.0,0.0,217.37974047660828,,,,,,,,,,,,,,,,,,,,,2300.243266437409,1193.7611590748638,4593.637677426257,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,2470.0,15.0,177.0,2470.0,0.1,4660.0,0.0,0.0,235.3871419429779,,,,,,,,,,,,,,,,,,,,,2196.7643391246424,1089.6518403464954,4279.727888023099,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,2629.0,16.0,159.0,2629.0,0.1,3710.0,0.0,0.0,252.14854073524475,,,,,,,,,,,,,,,,,,,,,1770.7438902433998,860.7972237102665,3435.3189239803396,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,2763.0,17.0,134.0,2763.0,0.1,3295.0,0.0,0.0,265.838675737381,,,,,,,,,,,,,,,,,,,,,1469.6641580197863,870.4790718301879,3104.2704394337775,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,2923.0,18.0,160.0,2923.0,0.1,3615.0,0.0,0.0,282.7658839225769,,,,,,,,,,,,,,,,,,,,,1744.608653003176,898.3131914056627,3342.5443616985276,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,3103.0,19.0,180.0,3103.0,0.1,4975.0,0.0,0.0,301.1812176704407,,,,,,,,,,,,,,,,,,,,,2415.665426663698,1307.8888243835418,4549.274222371058,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,3275.0,20.0,172.0,3275.0,0.1,4235.0,0.0,0.0,318.7911276817322,,,,,,,,,,,,,,,,,,,,,2424.8089932696253,1128.0320862347319,3825.580187953346,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,82.0,1.0,82.0,3357.0,0.1,1775.0,0.0,0.0,830.8864686489105,,,,,,,,,,,,,,,,,,,,,824.2691417840113,520.6357814011504,1710.829879302437,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,260.0,2.0,178.0,3535.0,0.1,4445.0,0.0,0.0,849.1903698444366,,,,,,,,,,,,,,,,,,,,,2206.029415551849,1251.0767865213265,4060.4435907697216,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,448.0,3.0,188.0,3723.0,0.1,4595.0,0.0,0.0,868.3466506004333,,,,,,,,,,,,,,,,,,,,,2196.4813327596394,1269.7373341556254,4190.438195393784,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,628.0,4.0,180.0,3903.0,0.1,4285.0,0.0,0.0,887.3643636703491,,,,,,,,,,,,,,,,,,,,,2069.752180149231,1217.5483083376416,3920.2812497914724,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,807.0,5.0,179.0,4082.0,0.1,4340.0,0.0,0.0,905.343248128891,,,,,,,,,,,,,,,,,,,,,2166.075371579843,1297.353974115532,3960.188926150586,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,973.0,6.0,166.0,4248.0,0.1,3845.0,0.0,0.0,922.6581671237946,,,,,,,,,,,,,,,,,,,,,1983.2062621277537,1221.6947924130939,3522.8298974517998,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,1147.0,7.0,174.0,4422.0,0.1,4655.0,0.0,0.0,940.8227651119232,,,,,,,,,,,,,,,,,,,,,2099.320655821201,1392.4970129883031,4298.310528633851,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
